#TYPE Selected.System.String
"SERVER","STATICROUTE01","STATICROUTE01_SUN","SCRIPT"
"ASZWSR0017.global.schindler.com","Exists","Exists","Exists"
"ASZWSR0023.global.schindler.com","Exists","Exists","Exists"
"ASZWSR0024.global.schindler.com","Exists","Exists","Exists"
"ASZWSR0025.global.schindler.com","Deleted","Deleted","Deleted"
"ASZWSR0026.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0001.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0002.global.schindler.com","Exists","Exists","Exists"
"crdwsr0003.global.schindler.com","Exists","Exists","Exists"
"crdwsr0004.global.schindler.com","Exists","Exists","Exists"
"crdwsr0005.global.schindler.com","Exists","Exists","Exists"
"crdwsr0006.global.schindler.com","Exists","Exists","Exists"
"crdwsr0007.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0008.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0039.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0044.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0045.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0046.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0047.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0048.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0049.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0050.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0051.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0052.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0055.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0056.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0058.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0059.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0060.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0061.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0062.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0063.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0064.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0065.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0066.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0067.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0068.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0069.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0070.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0071.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0072.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0073.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0074.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0076.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0077.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0078.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0079.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0080.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0081.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0082.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0083.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0084.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0085.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0086.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0087.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0088.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0089.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0090.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0091.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0092.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0093.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0094.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0095.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0096.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0097.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0098.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0099.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0100.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0101.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0102.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0103.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0104.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0105.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0106.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0107.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0108.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0109.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0110.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0111.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0112.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0113.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0114.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0115.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0116.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0117.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0118.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0119.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0120.global.schindler.com","Exists","Exists","Exists"
"CRDWSR0121.global.schindler.com","Exists","Exists","Exists"
