Backup Instance;Container;Resource Group;Policy;Latest Recovery Point;Vault;Azure Resource;Datasource Type;
master;shhwsr2327;rg-shh-qual-bcmiccsdb-01;(none);2/16/2022, 6:18:44 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2327;SQLDataBase;
msdb;shhwsr2327;rg-shh-qual-bcmiccsdb-01;(none);2/16/2022, 6:18:44 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2327;SQLDataBase;
bitbucket_prod;shhwsr2305;rg-shh-qual-sharedsql-01;(none);2/16/2022, 9:18:12 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2305;SQLDataBase;
rmp;shhwsr2305;rg-shh-qual-sharedsql-01;(none);2/16/2022, 9:21:11 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2305;SQLDataBase;
confluence;shhwsr2305;rg-shh-qual-sharedsql-01;(none);2/16/2022, 9:24:12 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2305;SQLDataBase;
model;shhwsr2305;rg-shh-qual-sharedsql-01;(none);2/16/2022, 9:24:12 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2305;SQLDataBase;
jira;shhwsr2305;rg-shh-qual-sharedsql-01;(none);2/16/2022, 9:35:12 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2305;SQLDataBase;
ssisdb;shhwsr2305;rg-shh-qual-sharedsql-01;(none);2/16/2022, 9:47:19 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2305;SQLDataBase;
model;shhwsr2323;rg-shh-qual-bcmiccsdb-01;(none);2/16/2022, 10:54:12 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2323;SQLDataBase;
model;shhwsr2324;rg-shh-qual-bcmiccsdb-01;(none);2/16/2022, 11:39:12 AM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2324;SQLDataBase;
model;shhwsr2327;rg-shh-qual-bcmiccsdb-01;(none);2/16/2022, 12:08:12 PM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2327;SQLDataBase;
model;shhwsr2234;rg-shh-qual-sharedsql-01;(none);2/16/2022, 12:33:11 PM;RSV-NONPROD-EUNO-GRSBACKUPSQL-01;SHHWSR2234;SQLDataBase;
