#TYPE Selected.System.Management.Automation.PSCustomObject
"COMName","PSVersion","ExecutionPolicy","WinRMStatus","NetFXVersion"
"CRDWSR0113.global.schindler.com","4.0","Unrestricted","Running","4.6.01055"
"CRDWSR0114.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0115.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0116.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0117.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0118.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0119.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0120.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0121.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0122.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0123.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0124.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0125.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0126.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"CRDWSR0127.global.schindler.com","4.0","Unrestricted","Running","4.6.01055"
"CRDWSR0128.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"INFWSR0001.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"INFWSR0002.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"infwsr0003.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"infwsr0004.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"INFWSR0005.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"INFWSR0008.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"INFWSR0010.global.schindler.com","3.0","RemoteSigned","Running","4.6.01055"
"INFWSR0011.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"INFWSR0012.global.schindler.com","4.0","Unrestricted","Running","4.5.51209"
"INFWSR0013.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"INFWSR0014.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"INVWSR0001.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"INVWSR0002.global.schindler.com","4.0","Unrestricted","Running","4.5.51650"
"INVWSR0003.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"LOCWSR0025.global.schindler.com","4.0","Unrestricted","Running","4.6.01055"
"MANWSR0001.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"MANWSR0002.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"MANWSR0003.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"MANWSR0004.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"MANWSR0005.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"MANWSR0006.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"MANWSR0007.global.schindler.com","4.0","Unrestricted","Running","4.5.51209"
"MANWSR0009.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"schwsr0001.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0002.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0004.global.schindler.com","2.0","RemoteSigned","Running","4.6.01055"
"SCHWSR0021.global.schindler.com","3.0","RemoteSigned","Running","4.6.01055"
"SCHWSR0022.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0024.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0025.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0026.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0027.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0028.global.schindler.com","3.0","RemoteSigned","Running","4.6.01055"
"SCHWSR0031.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0032.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SCHWSR0035.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"SCHWSR0038.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SCHWSR0047.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"SCHWSR0048.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"SCHWSR0049.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"SCHWSR0051.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"SCHWSR0052.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"SCHWSR0053.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"SCHWSR0054.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"SCHWSR0055.global.schindler.com","4.0","RemoteSigned","Running","4.6.01055"
"SECWSR0105.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWFC001n01.global.schindler.com","4.0","Unrestricted","Running","4.6.01055"
"SHHWFC001n02.global.schindler.com","4.0","Unrestricted","Running","4.6.01055"
"SHHWFC001n03.global.schindler.com","4.0","Unrestricted","Running","4.6.01055"
"SHHWSR0001.global.schindler.com","2.0","Unrestricted","Running","4.5.51209"
"SHHWSR0002.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0003.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0004.global.schindler.com","2.0","RemoteSigned","Running","4.6.01055"
"shhwsr0005.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0006.global.schindler.com","2.0","RemoteSigned","Running","4.6.01055"
"shhwsr0007.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0008.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
