"PSComputerName","Name","IsDomainAccount","AdminByMemberOf"
"ASZWSR0010.global.schindler.com","Administrator","False","ASZWSR0010.global.schindler.com\Administrators"
"ASZWSR0010.global.schindler.com","SVCSYSMGT","False","ASZWSR0010.global.schindler.com\Administrators"
"ASZWSR0010.global.schindler.com","admrescue","True","Domain Admins"
"ASZWSR0010.global.schindler.com","svcshhtennesscanaa","True","Domain Admins"
"ASZWSR0010.global.schindler.com","svcshhquestq1imad","True","Domain Admins"
"ASZWSR0010.global.schindler.com","svcshhldmsagtdpl","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","svcshhwhatsup","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","svcshhmmdiscovery","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admwickiwe","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admriemeran","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admwelleshe","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admhuerlifl","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admvogelhe","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admchristma","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admkipferer","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admrittwemi","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admortize1","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admgraciam1","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admdediegbl","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admlabodilu","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admsomaloce","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admvallesju","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admmarquea8","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admgarciaf19","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admcorsipa","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admniffeler","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","retired122950_admwoichaal","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admspyragr","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","retired89414_admriebliha","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admtippmato","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admkoemueta","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","retired13927_admschmidri","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admbarmetmi","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admelmigema","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admgoetscbr","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admwuerscda","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","retired9770_admmangolpa","True","SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admgraciam1","True","ASZ_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admjennymi","True","ASZ_RES_SY_SERVER_ADMIN"
"ASZWSR0010.global.schindler.com","admortize1","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admgashiko","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admheaumola","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admseignova","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admmasidlu","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admgraciam1","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admdediegbl","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admbarceljo","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admlabodilu","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","retired177153_admhaastrwa","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","svcinfwsusmgt","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admvallesju","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admmarquea8","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admgarciaf19","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admniffeler","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admspyragr","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","svcinfsitescope","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admmorenagi","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admtippmato","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admkoemueta","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","retired13927_admschmidri","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admbarmetmi","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admstewarga","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admelmigema","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admgehrigpa","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admgappmajo","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admkugelth","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admhuerlifl","True","INF_GR_INF_SERVER_MGT"
"ASZWSR0010.global.schindler.com","admchristma","True","INF_GR_INF_SERVER_MGT"
