#TYPE Selected.System.Management.ManagementObject
"__SERVER","ServerComment","Logfiledirectory"
"SHHWSR0238","SharePoint - deu-ni-quali.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0238","SharePoint - deucommunityt.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0283","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0283","SHHWSR0283","C:\inetpub\logs\LogFiles"
"SHHWSR0349","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0349","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0349","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0364","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0364","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0368","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0372","RM","C:\inetpub\logs\LogFiles"
"SHHWSR0372","RMDAL","C:\inetpub\logs\LogFiles"
"SHHWSR0372","TACom","C:\inetpub\logs\LogFiles"
"SHHWSR0372","NldWeb","C:\inetpub\logs\LogFiles"
"SHHWSR0373","RM","C:\inetpub\logs\LogFiles"
"SHHWSR0373","RMDAL","C:\inetpub\logs\LogFiles"
"SHHWSR0373","TACom","C:\inetpub\logs\LogFiles"
"SHHWSR0373","NldWeb","C:\inetpub\logs\LogFiles"
"SHHWSR0374","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0374","SEH","C:\inetpub\logs\LogFiles"
"SHHWSR0374","telemonitoring","C:\inetpub\logs\LogFiles"
"SHHWSR0377","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0380","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0381","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0382","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0396","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0396","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0397","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0397","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0402","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0402","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0402","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0409","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0409","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0410","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0410","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0411","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0411","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0411","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0418","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0418","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0459","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0459","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0459","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0460","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0460","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0467","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0467","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0467","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0468","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0468","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0468","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0478","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0478","SAP_Content_Server","C:\inetpub\logs\LogFiles"
