#TYPE Selected.System.Management.ManagementObject
"__SERVER","ServerComment","Logfiledirectory"
"INFWSR0005","SharePoint - 8086","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8087","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8088","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"INFWSR0005","IntelliDocX","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"SHHWSR0004","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0004","wwwroot54322","C:\inetpub\logs\LogFiles"
"SHHWSR0004","tweap95_prod","D:\tweap95_prod\log"
"SHHWSR0004","tweap_prod_sr","D:\tweap_prod_sr\log"
"SHHWSR0004","tweap_test_sr","D:\tweap_test_sr\log"
"SHHWSR0004","tweap90_prod","D:\tweap90_prod\log"
"SHHWSR0004","aims","C:\inetpub\logs\LogFiles"
"SHHWSR0004","tweap96_test","D:\tweap96_test\log"
"SHHWSR0005","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0006","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0008","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0009","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0023","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0570","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0570","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0041","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0572","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0572","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0572","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0483","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - 80","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - 8082","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - 8083","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - dtfagora.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - FieldWiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - FieldWikipublishing.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - gltwiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - intranetproject.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - klwiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - mysite.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - saleswiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - SEM2015.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint Web Services","D:\Logs\IISLogs"
"SHHWSR0483","SharePoint - apple.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - yourfirstchoice.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - project-wiki.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - dtfcommunity.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","sap","C:\inetpub\logs\LogFiles"
