#TYPE Selected.System.Int32
"PSComputerName","Value"
"SHHWSR0261.global.schindler.com","RemoteSigned"
"SHHWSR0262.global.schindler.com","RemoteSigned"
"SHHWSR0263.global.schindler.com","RemoteSigned"
"SHHWSR0264.global.schindler.com","RemoteSigned"
"SHHWSR0265.global.schindler.com","Restricted"
"SHHWSR0266.global.schindler.com","RemoteSigned"
"SHHWSR0267.global.schindler.com","Restricted"
"SHHWSR0268.global.schindler.com","RemoteSigned"
"SHHWSR0269.global.schindler.com","RemoteSigned"
"SHHWSR0270.global.schindler.com","RemoteSigned"
"SHHWSR0271.global.schindler.com","RemoteSigned"
"SHHWSR0273.global.schindler.com","RemoteSigned"
"SHHWSR0274.global.schindler.com","RemoteSigned"
"SHHWSR0275.global.schindler.com","RemoteSigned"
"SHHWSR0276.global.schindler.com","RemoteSigned"
"SHHWSR0277.global.schindler.com","RemoteSigned"
"SHHWSR0280.global.schindler.com","RemoteSigned"
"SHHWSR0281.global.schindler.com","Restricted"
"SHHWSR0283.global.schindler.com","RemoteSigned"
"SHHWSR0284.global.schindler.com","RemoteSigned"
"SHHWSR0285.global.schindler.com","RemoteSigned"
"SHHWSR0288.global.schindler.com","RemoteSigned"
"SHHWSR0289.global.schindler.com","RemoteSigned"
"SHHWSR0291.global.schindler.com","Restricted"
"SHHWSR0293.global.schindler.com","RemoteSigned"
"SHHWSR0294.global.schindler.com","RemoteSigned"
"SHHWSR0296.global.schindler.com","RemoteSigned"
"SHHWSR0297.global.schindler.com","Restricted"
"SHHWSR0298.global.schindler.com","Restricted"
"SHHWSR0299.global.schindler.com","RemoteSigned"
"SHHWSR0301.global.schindler.com","RemoteSigned"
"SHHWSR0302.global.schindler.com","RemoteSigned"
"SHHWSR0303.global.schindler.com","RemoteSigned"
"SHHWSR0307.global.schindler.com","RemoteSigned"
"SHHWSR0308.global.schindler.com","RemoteSigned"
"SHHWSR0309.global.schindler.com","RemoteSigned"
"SHHWSR0310.global.schindler.com","RemoteSigned"
"SHHWSR0311.global.schindler.com","RemoteSigned"
"SHHWSR0312.global.schindler.com","RemoteSigned"
"SHHWSR0313.global.schindler.com","RemoteSigned"
"SHHWSR0314.global.schindler.com","RemoteSigned"
"SHHWSR0315.global.schindler.com","RemoteSigned"
"SHHWSR0316.global.schindler.com","RemoteSigned"
"SHHWSR0317.global.schindler.com","RemoteSigned"
"SHHWSR0318.global.schindler.com","RemoteSigned"
"SHHWSR0319.global.schindler.com","RemoteSigned"
"SHHWSR0320.global.schindler.com","Restricted"
"SHHWSR0321.global.schindler.com","RemoteSigned"
"SHHWSR0322.global.schindler.com","RemoteSigned"
"SHHWSR0323.global.schindler.com","RemoteSigned"
"SHHWSR0325.global.schindler.com","RemoteSigned"
"SHHWSR0326.global.schindler.com","RemoteSigned"
"SHHWSR0330.global.schindler.com","RemoteSigned"
"SHHWSR0331.global.schindler.com","RemoteSigned"
"SHHWSR0332.global.schindler.com","Unrestricted"
"SHHWSR0333.global.schindler.com","RemoteSigned"
"SHHWSR0336.global.schindler.com","RemoteSigned"
"SHHWSR0337.global.schindler.com","RemoteSigned"
"SHHWSR0338.global.schindler.com","RemoteSigned"
"SHHWSR0339.global.schindler.com","RemoteSigned"
"SHHWSR0340.global.schindler.com","RemoteSigned"
"SHHWSR0341.global.schindler.com","RemoteSigned"
"SHHWSR0346.global.schindler.com","RemoteSigned"
"SHHWSR0347.global.schindler.com","RemoteSigned"
"SHHWSR0348.global.schindler.com","RemoteSigned"
"SHHWSR0349.global.schindler.com","RemoteSigned"
"SHHWSR0352.global.schindler.com","RemoteSigned"
"SHHWSR0353.global.schindler.com","RemoteSigned"
"SHHWSR0354.global.schindler.com","RemoteSigned"
"SHHWSR0355.global.schindler.com","RemoteSigned"
"SHHWSR0356.global.schindler.com","RemoteSigned"
"SHHWSR0357.global.schindler.com","Unrestricted"
"SHHWSR0358.global.schindler.com","RemoteSigned"
"SHHWSR0359.global.schindler.com","RemoteSigned"
"SHHWSR0361.global.schindler.com","RemoteSigned"
"SHHWSR0362.global.schindler.com","RemoteSigned"
"SHHWSR0363.global.schindler.com","RemoteSigned"
"SHHWSR0364.global.schindler.com","RemoteSigned"
"SHHWSR0365.global.schindler.com","RemoteSigned"
"SHHWSR0366.global.schindler.com","RemoteSigned"
"SHHWSR0371.global.schindler.com","RemoteSigned"
"SHHWSR0372.global.schindler.com","RemoteSigned"
"SHHWSR0373.global.schindler.com","RemoteSigned"
"SHHWSR0374.global.schindler.com","RemoteSigned"
"SHHWSR0375.global.schindler.com","RemoteSigned"
"SHHWSR0377.global.schindler.com","RemoteSigned"
"SHHWSR0378.global.schindler.com","RemoteSigned"
"SHHWSR0379.global.schindler.com","RemoteSigned"
"SHHWSR0380.global.schindler.com","RemoteSigned"
"SHHWSR0381.global.schindler.com","RemoteSigned"
"SHHWSR0382.global.schindler.com","RemoteSigned"
"SHHWSR0384.global.schindler.com","RemoteSigned"
"SHHWSR0387.global.schindler.com","RemoteSigned"
"SHHWSR0388.global.schindler.com","RemoteSigned"
"SHHWSR0389.global.schindler.com","RemoteSigned"
"SHHWSR0390.global.schindler.com","RemoteSigned"
"SHHWSR0391.global.schindler.com","Restricted"
"SHHWSR0392.global.schindler.com","RemoteSigned"
"SHHWSR0393.global.schindler.com","RemoteSigned"
"SHHWSR0395.global.schindler.com","RemoteSigned"
"SHHWSR0396.global.schindler.com","RemoteSigned"
"SHHWSR0397.global.schindler.com","RemoteSigned"
"SHHWSR0402.global.schindler.com","RemoteSigned"
"SHHWSR0403.global.schindler.com","RemoteSigned"
"SHHWSR0409.global.schindler.com","RemoteSigned"
"SHHWSR0410.global.schindler.com","RemoteSigned"
"SHHWSR0411.global.schindler.com","RemoteSigned"
"SHHWSR0412.global.schindler.com","Restricted"
"SHHWSR0414.global.schindler.com","RemoteSigned"
"SHHWSR0418.global.schindler.com","RemoteSigned"
"SHHWSR0420.global.schindler.com","RemoteSigned"
"SHHWSR0421.global.schindler.com","Restricted"
"SHHWSR0422.global.schindler.com","RemoteSigned"
"SHHWSR0423.global.schindler.com","RemoteSigned"
"SHHWSR0424.global.schindler.com","RemoteSigned"
"SHHWSR0425.global.schindler.com","RemoteSigned"
"SHHWSR0426.global.schindler.com","RemoteSigned"
"SHHWSR0427.global.schindler.com","RemoteSigned"
"SHHWSR0428.global.schindler.com","RemoteSigned"
"SHHWSR0429.global.schindler.com","RemoteSigned"
"SHHWSR0435.global.schindler.com","RemoteSigned"
"SHHWSR0436.global.schindler.com","RemoteSigned"
"SHHWSR0437.global.schindler.com","RemoteSigned"
"SHHWSR0438.global.schindler.com","RemoteSigned"
"SHHWSR0439.global.schindler.com","RemoteSigned"
"SHHWSR0440.global.schindler.com","RemoteSigned"
"SHHWSR0441.global.schindler.com","RemoteSigned"
"SHHWSR0442.global.schindler.com","RemoteSigned"
"SHHWSR0443.global.schindler.com","RemoteSigned"
"SHHWSR0444.global.schindler.com","RemoteSigned"
"SHHWSR0445.global.schindler.com","RemoteSigned"
"SHHWSR0446.global.schindler.com","RemoteSigned"
"SHHWSR0447.global.schindler.com","RemoteSigned"
"SHHWSR0448.global.schindler.com","RemoteSigned"
"SHHWSR0450.global.schindler.com","RemoteSigned"
"SHHWSR0451.global.schindler.com","RemoteSigned"
"SHHWSR0452.global.schindler.com","RemoteSigned"
"SHHWSR0453.global.schindler.com","RemoteSigned"
"SHHWSR0454.global.schindler.com","RemoteSigned"
"SHHWSR0455.global.schindler.com","Restricted"
"SHHWSR0456.global.schindler.com","RemoteSigned"
"SHHWSR0457.global.schindler.com","RemoteSigned"
"SHHWSR0458.global.schindler.com","RemoteSigned"
"SHHWSR0459.global.schindler.com","RemoteSigned"
"SHHWSR0460.global.schindler.com","RemoteSigned"
"SHHWSR0462.global.schindler.com","RemoteSigned"
"SHHWSR0467.global.schindler.com","RemoteSigned"
"SHHWSR0468.global.schindler.com","RemoteSigned"
"SHHWSR0475.global.schindler.com","RemoteSigned"
"SHHWSR0477.global.schindler.com","Unrestricted"
"SHHWSR0478.global.schindler.com","RemoteSigned"
"SHHWSR0479.global.schindler.com","Restricted"
"SHHWSR0480.global.schindler.com","Restricted"
"SHHWSR0481.global.schindler.com","Restricted"
"SHHWSR0482.global.schindler.com","RemoteSigned"
"SHHWSR0483.global.schindler.com","RemoteSigned"
"SHHWSR0484.global.schindler.com","RemoteSigned"
"SHHWSR0485.global.schindler.com","RemoteSigned"
"SHHWSR0487.global.schindler.com","RemoteSigned"
"SHHWSR0488.global.schindler.com","Restricted"
"SHHWSR0494.global.schindler.com","Restricted"
"SHHWSR0500.global.schindler.com","Restricted"
"SHHWSR0501.global.schindler.com","RemoteSigned"
"SHHWSR0502.global.schindler.com","RemoteSigned"
"SHHWSR0503.global.schindler.com","RemoteSigned"
"SHHWSR0504.global.schindler.com","RemoteSigned"
"SHHWSR0505.global.schindler.com","Restricted"
"SHHWSR0506.global.schindler.com","Restricted"
"SHHWSR0507.global.schindler.com","Restricted"
"SHHWSR0508.global.schindler.com","Restricted"
"SHHWSR0509.global.schindler.com","Restricted"
"SHHWSR0510.global.schindler.com","Restricted"
"SHHWSR0512.global.schindler.com","RemoteSigned"
"SHHWSR0513.global.schindler.com","Restricted"
"SHHWSR0521.global.schindler.com","RemoteSigned"
"SHHWSR0523.global.schindler.com","Restricted"
"SHHWSR0524.global.schindler.com","Unrestricted"
"SHHWSR0525.global.schindler.com","Unrestricted"
"SHHWSR0526.global.schindler.com","Unrestricted"
"SHHWSR0527.global.schindler.com","Restricted"
"SHHWSR0530.global.schindler.com","Restricted"
"SHHWSR0531.global.schindler.com","Restricted"
"SHHWSR0536.global.schindler.com","Restricted"
"SHHWSR0544.global.schindler.com","Restricted"
"SHHWSR0546.global.schindler.com","Restricted"
"SHHWSR0547.global.schindler.com","Unrestricted"
"SHHWSR0549.global.schindler.com","Unrestricted"
"SHHWSR0551.global.schindler.com","Restricted"
"SHHWSR0552.global.schindler.com","Restricted"
"SHHWSR0553.global.schindler.com","Restricted"
"SHHWSR0554.global.schindler.com","Restricted"
"SHHWSR0555.global.schindler.com","Restricted"
"SHHWSR0556.global.schindler.com","Restricted"
"SHHWSR0557.global.schindler.com","Restricted"
"SHHWSR0558.global.schindler.com","Restricted"
"SHHWSR0559.global.schindler.com","Restricted"
"SHHWSR0570.global.schindler.com","RemoteSigned"
"SHHWSR0571.global.schindler.com","Restricted"
"SHHWSR0572.global.schindler.com","Unrestricted"
"SHHWSR0577.global.schindler.com","Unrestricted"
"SHHWSR0578.global.schindler.com","Unrestricted"
"SHHWSR0579.global.schindler.com","Unrestricted"
"SHHWSR0580.global.schindler.com","Unrestricted"
"SHHWSR0581.global.schindler.com","Unrestricted"
"SHHWSR0598.global.schindler.com","Unrestricted"
"SHHWSR9998.global.schindler.com","Restricted"
"TRDWSR0001.global.schindler.com","RemoteSigned"
"TRDWSR0002.global.schindler.com","RemoteSigned"
"TRDWSR0007.global.schindler.com","RemoteSigned"
"SHHWSR0635.GLOBAL.SCHINDLER.COM","RemoteSigned"
