"Server name","Details","Read username","Write username","Replicator","Sources count"
"shhwsr1123.global.schindler.com","DP","global\svcshhldmssync","","","0"
"shhwsr1172.global.schindler.com","DP SHH SIS SCH ZZZ DSW CRD ASZ","global\svcshhldmssync","global\svcshhldmssync","SHHWSR1172","3"
"shhwsr1835.global.schindler.com","DP SHH ZZZ UKC MAN INV SCH ATH HEL GLP LOC DEU CRD MIL PAR","global\svcshhldmssync","","","0"
"shhwsr1867.global.schindler.com","DP AZU","global\svcshhldmssync","global\svcshhldmssync","","1"
"shhwsr1999.global.schindler.com","DP SHH","global\svcshhldmssync","global\svcshhldmssync","SHHWSR1999","1"
"shhwsr2022.global.schindler.com","DP SHH","global\svcshhldmssync","global\svcshhldmssync","SHHWSR2022","1"
"skowsr0010.global.schindler.com","DP SKO","global\svcshhldmssync","global\svcshhldmssync","SKOWSR0010","2"
"slowsr0004.global.schindler.com","DP SLO","global\svcshhldmssync","global\svcshhldmssync","SLOWSR0004","2"
"slswsr0007.global.schindler.com","DP SLS","global\svcshhldmssync","global\svcshhldmssync","SLSWSR0007","2"
"slswsr0009.global.schindler.com","DP SHH JSG JPN","global\svcshhldmssync","global\svcshhldmssync","slswsr0009","1"
"srbwsr0003.global.schindler.com","DP SRB","global\svcshhldmssync","global\svcshhldmssync","SRBWSR0003","2"
"tlvwsr0007.global.schindler.com","DP TLV","global\svcshhldmssync","global\svcshhldmssync","TLVWSR0007","2"
"uaewsr0008.global.schindler.com","DP UAE","global\svcshhldmssync","global\svcshhldmssync","UAEWSR0008","2"
"ukcwsr0124.global.schindler.com","DP UKC","global\svcshhldmssync","global\svcshhldmssync","","2"
"ukrwsr0104.global.schindler.com","DP UKR","global\svcshhldmssync","global\svcshhldmssync","UKRWSR0104","2"
"vnmwsr0128.global.schindler.com","DP VNM","global\svcshhldmssync","global\svcshhldmssync","VNMWSR0128","2"
"wawwsr1101.global.schindler.com","DP WAW","global\svcshhldmssync","global\svcshhldmssync","WAWWSR1101","2"
"wifwsr0028.global.schindler.com","DP WIF WII KHW","global\svcshhldmssync","global\svcshhldmssync","WIFWSR0028","2"
